X,Y,key
205382.900569684,171676.998273108,"526"
205290.662915228,171666.47197868,"527"
205203.319180687,171702.211887284,"528"
205121.012987749,171663.531463077,"524"
204871.171802831,171625.196356547,"529"
204918.573875743,171582.759006507,"530"
206163.312930692,171042.824637704,"531"
206163.353954845,171051.539126657,"532"
206119.041198561,171034.75530681,"1902"
206056.505597392,171033.917540022,"534"
206601.611610664,170779.100821295,"536"
206558.983053557,170841.948303234,"537"
206171.795052488,171015.79441696,"539"
206189.397615944,170946.922720164,"540"
206274.007120946,170921.995167765,"541"
206371.448132635,170904.685989419,"542"
206467.894791691,170878.854973542,"538"
210950.928741214,169096.376541431,"289"
210992.334686051,169247.714579395,"544"
210969.681965833,169164.235689277,"543"
212369.951637157,169084.584321493,"548"
212394.332177161,169221.374801077,"549"
212371.371766612,169147.06412678,"547"
212702.191111861,170395.887127364,"264"
211501.73365734,170117.9634435,"551"
211588.148899555,170133.559101044,"552"
211680.801842218,170158.465839963,"553"
211754.231506451,170114.374349105,"554"
211814.284843013,170035.643411326,"555"
211882.790864195,169992.834209585,"556"
211963.264083187,170045.554487512,"557"
212040.60333217,170068.250293254,"558"
212122.63882287,170061.510833493,"559"
212215.102035299,170095.098795984,"560"
212307.203017213,170104.623908145,"561"
212386.811919072,170105.338046448,"562"
212425.944323769,170191.14229968,"563"
212480.763462356,170271.203551278,"564"
212567.196616189,170311.538763502,"565"
212651.144574771,170355.102033241,"550"
211901.447997281,171643.021022773,"566"
211379.967605567,170351.803986104,"568"
211408.750565292,170397.016236614,"570"
211446.714733755,170479.273470182,"571"
211481.166752957,170567.417136282,"572"
211527.859175991,170653.097442334,"573"
211546.572161031,170750.363000277,"574"
211565.925205979,170847.385973051,"575"
211614.589876793,170932.539362233,"576"
211656.788139841,171022.875322141,"577"
211681.559732685,171115.353486685,"578"
211686.645352724,171211.899737078,"579"
211709.367203093,171308.862602547,"580"
211777.268788466,171342.07620306,"581"
211840.811471452,171392.740716289,"582"
211875.826012688,171484.190183643,"583"
211887.757577807,171583.226406295,"567"
211890.506812486,171665.177228071,"584"
211694.033448878,170692.54114804,"145"
211568.447920011,170542.790920844,"586"
211591.96814607,170605.971569623,"588"
211637.203244834,170686.398453221,"585"
212706.791023253,169418.264260967,"589"
212661.849158123,169379.744071452,"590"
212949.912533919,169657.709135187,"591"
212761.330348508,169470.951885613,"593"
212824.958666473,169541.34801389,"594"
212892.457217587,169613.147351776,"592"
210860.295457044,168919.599292603,"597"
210820.115388576,168831.29686587,"599"
210769.150839384,168751.616297331,"596"
210930.401795645,169066.520994368,"600"
210890.95623573,169012.835685758,"598"
213740.728100666,170490.413539435,"601"
213664.128012512,170705.668856926,"603"
213666.62859409,170647.148578537,"604"
213689.897317115,170552.397344494,"602"
213931.110311882,170198.490807309,"605"
213793.37665771,170440.586000326,"607"
213843.865087967,170365.238441414,"608"
